cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0205,3.457,11.28,4.18,10.68,5.027
BS-LSBAT-S240629-0206,3.457,11.1,4.18,10.68,5.0243
BS-LSBAT-S240629-0207,3.457,11.19,4.18,10.67,5.0377
BS-LSBAT-S240629-0208,3.457,11.12,4.18,10.47,5.0239
BS-LSBAT-S240629-0209,3.457,11.01,4.18,10.61,5.024
BS-LSBAT-S240629-0210,3.457,10.92,4.18,10.48,5.0501
BS-LSBAT-S240629-0211,3.457,11.19,4.18,10.76,5.0348
BS-LSBAT-S240629-0212,3.457,11.36,4.18,10.5,5.0203
BS-LSBAT-S240629-0213,3.457,11.22,4.18,10.55,5.019
BS-LSBAT-S240629-0214,3.457,11.13,4.18,10.56,5.0269
BS-LSBAT-S240629-0215,3.457,11.22,4.18,10.67,5.0292
BS-LSBAT-S240629-0216,3.457,11.18,4.18,10.54,5.0337
BS-LSBAT-S240629-0217,3.457,11.15,4.17,10.99,5.0499
BS-LSBAT-S240629-0218,3.457,11.1,4.17,10.75,5.0471
BS-LSBAT-S240629-0219,3.457,11.02,4.17,10.75,5.0424
BS-LSBAT-S240629-0220,3.457,10.97,4.17,10.71,5.0655
BS-LSBAT-S240629-0221,3.457,10.98,4.17,10.85,5.0704
BS-LSBAT-S240629-0222,3.457,11.12,4.17,10.92,5.0431
BS-LSBAT-S240629-0223,3.457,11.11,4.17,10.87,5.0718
BS-LSBAT-S240629-0224,3.457,10.97,4.17,10.67,5.0597
BS-LSBAT-S240629-0225,3.457,11.29,4.17,10.82,5.0531
BS-LSBAT-S240629-0226,3.457,11.0,4.17,10.9,5.0573
BS-LSBAT-S240629-0227,3.457,11.33,4.17,10.93,5.0685
BS-LSBAT-S240629-0228,3.457,11.5,4.17,10.84,5.052
BS-LSBAT-S240629-0229,3.457,11.04,4.18,10.9,5.0766
BS-LSBAT-S240629-0230,3.457,11.21,4.18,10.76,5.0668
BS-LSBAT-S240629-0231,3.457,11.23,4.17,11.0,5.0693
BS-LSBAT-S240629-0232,3.457,11.27,4.17,10.89,5.0542
BS-LSBAT-S240629-0233,3.457,11.21,4.17,10.87,5.0607
